# ==============================================================================
# SAMTRAMOD - Datasets
# Saaho Multi-Dialect Dataset (ver 1.0)
# 2026 Jama Musse Jama 

ID	Source_EN	Target_Saho_North	Target_Saho_Central	Target_Saho_South
SAM-GTR-00001	Adam did that, even though he didn't need to	Adam abo kaalle mitine haaki, amayim abe	Adam abo kaal mitine haaki, amaye abe	Adam abo kaal mitine hayki, amaye abe
SAM-GTR-00002	Adam has never done that by himself	Adam amayim isheh abeh miyaarhige	Adam amaye isheh abeh miyaarhige	Adam amayim isheh abeh mayaarhige
SAM-GTR-00003	Alex said Monica knew that he might have to do that several more times	Aleekis Monika usuk amayim mangole gedda abo kinam teerhegeh tinem warishe	Aleekis Monika usuk amayim mangole ged abo kinam teerhegeh tinem warishe	Aleekis Monika usuk amayim mangole gul abo kinam teerhegeh tinem warishe
SAM-GTR-00004	Although Ibero-America is a larger language region, American English carries greater influence in the current world	Ibero-Ameerika naba luqhahi zooba tekkemih, Ameerikaati Ingiliiz, kaafit caalamalle naba tabso leya	Ibero-Ameerika naba luqhahi zooba tekkemih, Ameerikaati Ingiliiz, kaafit caalamal naba wahas leya	Ibero-Ameerika naba luqhat zooba takko kiyah, Ameerikat Ingiliiz, kaafit caalamalle naba wahas yabbirhe.
SAM-GTR-00005	An office building, with 22 stories above ground and 2 below, is under construction	Baarhot bukalle 22, baarhot addadde lel 2 daraja le maktabti camaara ginniimak tane	Wuli baarhot bukalle 22, baarhok addad lel 2 daraj le maktabti camaara siraaximaa tane	Wuli maktabti gino, 22 baarhot bukahi mackanya kee 2 baarhot addahi mackanlih dhishodde geytimta.
SAM-GTR-00006	Are you wearing lipstick?	Atu wagaballe hayaanam hashshitteh tanito?	Atu wagabal hayaanam hashshitteh tanito?	Atu wagabal hayaanam hayshitteh tanito?
SAM-GTR-00007	Beat the egg before putting it in the soup	Amaa lalimta tekeridde haytam warah zib	Amaa lalimta tekerid haytamko basol zib	Amaa lalimta terekeridde haytam warah utuk.
SAM-GTR-00008	Both Alex and Alice like to play golf	Aleekis kee Aliis lammuk goluf digiraanam kixinon	Aleekis kee Aliis lammik goluf digiraanam kixinon	Aleekis kee Aliis lammii goluf digiraanam kixinon
SAM-GTR-00009	But she said, We'd rather have Victory because we'll succeed in everything we do.”	Ishe laakin: Nanu ummanimille nansaro kinomhi sabbatah sariigalla geynam noh tashshe” terhxe	Ishe laakin: Nanu ummanimil nansaro kinomhi sabbatah sariigalla geynam noh tashshe” terhxe	Ishe laakin: Nanu ummanimil nansaro kinomhi sabbatah sariigalla geynam noh tayshe” terhxe
SAM-GTR-00010	By and by, the bitter north wind began to blow	Amalle anuk, dhacuma waarerta le qilbat xaaxatti dhago erherhishe	Mangum sugekkah, dhacuma qilbat xaaxayti yamrawwaxo erherhishe	Dherh waqhte sugekkah, sirii qilbat xaaxaa xaaxaysho erherhishe.
